ID,WT_DOM,BSEX,BAGE,BINC1,D_TRA1_SYEAR,D_TRA1_SMONTH,D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,D_TRA2_SYEAR,D_TRA2_SMONTH,D_TRA2_1_SPOT,D_TRA2_CASE,D_TRA2_COST,D_TRA2_NUM,D_TRA2_ONE_COST,D_TRA3_SYEAR,D_TRA3_SMONTH,D_TRA3_1_SPOT,D_TRA3_CASE,D_TRA3_COST,D_TRA3_NUM,D_TRA3_ONE_COST,D_TRA4_SYEAR,D_TRA4_SMONTH,D_TRA4_1_SPOT,D_TRA4_CASE,D_TRA4_COST,D_TRA4_NUM,D_TRA4_ONE_COST,D_TRA5_SYEAR,D_TRA5_SMONTH,D_TRA5_1_SPOT,D_TRA5_CASE,D_TRA5_COST,D_TRA5_NUM,D_TRA5_ONE_COST,D_TRA6_SYEAR,D_TRA6_SMONTH,D_TRA6_1_SPOT,D_TRA6_CASE,D_TRA6_COST,D_TRA6_NUM,D_TRA6_ONE_COST,국내_A_여행횟수_관광전체_서울,국내_A_여행횟수_관광전체_부산,국내_A_여행횟수_관광전체_대구,국내_A_여행횟수_관광전체_인천,국내_A_여행횟수_관광전체_광주,국내_A_여행횟수_관광전체_대전,국내_A_여행횟수_관광전체_울산,국내_A_여행횟수_관광전체_세종,국내_A_여행횟수_관광전체_경기,국내_A_여행횟수_관광전체_강원,국내_A_여행횟수_관광전체_충북,국내_A_여행횟수_관광전체_충남,국내_A_여행횟수_관광전체_전북,국내_A_여행횟수_관광전체_전남,국내_A_여행횟수_관광전체_경북,국내_A_여행횟수_관광전체_경남,국내_A_여행횟수_관광전체_제주,국내_A_여행지출_관광전체_서울,국내_A_여행지출_관광전체_부산,국내_A_여행지출_관광전체_대구,국내_A_여행지출_관광전체_인천,국내_A_여행지출_관광전체_광주,국내_A_여행지출_관광전체_대전,국내_A_여행지출_관광전체_울산,국내_A_여행지출_관광전체_세종,국내_A_여행지출_관광전체_경기,국내_A_여행지출_관광전체_강원,국내_A_여행지출_관광전체_충북,국내_A_여행지출_관광전체_충남,국내_A_여행지출_관광전체_전북,국내_A_여행지출_관광전체_전남,국내_A_여행지출_관광전체_경북,국내_A_여행지출_관광전체_경남,국내_A_여행지출_관광전체_제주,연도
11010630091_785641,16793.870340935289,2,6,6,2025,12,34050,1,80000,2,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,2025
1101070050A_712895,5069.427794210852,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1101070050A_712896,10138.855588421704,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1101070050A_712899,14672.698919151144,2,6,4,2025,10,23310,1,97000,2,48500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48500,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1101070050A_712904,18765.834310011141,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1101070050A_712905,18090.089240897774,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1101070050A_712906,10976.62541748359,2,2,4,2025,10,32040,1,390000,2,195000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000,0,0,0,0,0,0,0,2025
1101070050A_712916,14495.922832158498,2,3,7,2025,10,32410,1,500000,1,500000,2025,10,31210,1,110000,1,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000,500000,0,0,0,0,0,0,0,2025
1101070050A_712921,7247.9614160792489,2,3,6,2025,10,31250,1,137000,2,68500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68500,0,0,0,0,0,0,0,0,2025
1101070050A_712927,18147.240422051433,2,4,6,2025,10,31370,1,186000,4,46500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46500,0,0,0,0,0,0,0,0,2025
1101070050A_712931,15208.283382632557,2,5,6,2025,10,23010,1,25000,1,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1101070050A_712933,28819.83165359106,1,2,7,2025,10,31200,1,79000,2,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39500,0,0,0,0,0,0,0,0,2025
1101070050A_712936,15208.283382632557,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
11010710951_664811,29281.461212090358,2,7,4,2025,8,31140,3,50000,1,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
