지역,월,표본수(n),방문건수_가중합,1인평균지출_가중평균,1인평균지출_중앙값,혼잡도지수
경북,7,573,5406755.653369641,116484.22099106303,80000.0,97.05
경북,8,598,5626859.800615843,123943.83120180332,100000.0,101.0
경북,9,653,6142149.827929948,116778.5611178363,78250.0,110.25
경북,10,693,6511459.361338028,119731.18609731006,87500.0,116.87
경북,11,590,5359802.396019988,111141.35901146528,86667.0,96.2
경북,12,569,5569621.747572126,119489.15668970528,87500.0,99.97
광주,1,57,471192.49476832896,116445.43461014456,87000.0,136.76
광주,2,64,492034.528075402,143978.11689881876,133334.0,142.81
광주,3,40,321023.9930595228,116278.72471463108,116667.0,93.17
광주,4,41,326990.7976937121,153451.54310674217,125750.0,94.91
광주,5,43,350905.8093857646,128458.26036366184,105000.0,101.85
광주,6,39,264846.389751587,140712.3779583165,130000.0,76.87
광주,7,22,170976.75479506538,119060.43962897571,107333.0,49.62
광주,8,29,203532.64255557224,126756.55365621526,90400.0,59.07
광주,9,31,255451.860796392,166993.23737935038,130000.0,74.14
광주,10,53,459207.15452260367,130214.30767612145,105000.0,133.28
광주,11,43,346489.0519996243,128864.20525348284,100000.0,100.56
광주,12,68,471878.5577183867,118154.30223798013,100000.0,136.96
대구,1,117,971987.5977611204,133361.89404605658,100000.0,121.86
대구,2,98,845820.9188528054,101950.5655811316,75000.0,106.04
대구,3,88,736175.2648330319,164617.89507290156,100000.0,92.3
대구,4,97,888099.3049308558,112864.85370665172,100000.0,111.34
대구,5,106,835065.3440532009,126650.7506453184,98000.0,104.69
대구,6,92,747582.6098439014,108294.34728495013,76750.0,93.73
대구,7,79,640965.9463279452,123555.5758008365,100000.0,80.36
대구,8,59,502788.3369326668,164665.8778308119,100000.0,63.04
대구,9,114,1010604.9877230386,153997.00536063252,100000.0,126.7
대구,10,99,818631.9755756678,112883.49671700166,90000.0,102.63
대구,11,86,754852.917642868,106499.83929986464,95000.0,94.64
대구,12,115,818967.0514851367,131276.69623947912,80000.0,102.68
대전,1,95,736229.6821984273,99482.4571596883,88500.0,91.12
대전,2,92,795981.4939062899,110630.25891836829,78000.0,98.52
대전,3,117,967332.9136912904,99148.33786647064,75000.0,119.72
대전,4,90,800401.9200492133,91490.72277267964,83333.0,99.06
대전,5,101,908392.5499977953,89084.31943272444,70000.0,112.43
대전,6,103,996075.0423916156,110147.71263000186,75000.0,123.28
대전,7,83,661352.9488750821,106940.98658323464,83333.0,81.85
대전,8,69,559322.439262579,108878.69831939152,100000.0,69.23
대전,9,95,703547.9915251385,90846.32226957312,75000.0,87.08
대전,10,106,972104.9771491324,110710.5540722849,78500.0,120.31
대전,11,90,742231.5258486089,101007.87385253604,75000.0,91.86
대전,12,104,852676.1429654597,114498.52557409032,100000.0,105.53
부산,1,295,2837443.8598908954,183676.95092045685,133335.0,98.96
부산,2,299,2744046.3868992804,182214.01602925148,150000.0,95.7
부산,3,285,2929513.066487782,170500.90330395362,110000.0,102.17
부산,4,257,2483658.627418164,170992.72805122635,124750.0,86.62
부산,5,266,2487658.969289338,159095.3362760163,101334.0,86.76
부산,6,294,2785892.644150432,176190.49701301343,106600.0,97.16
부산,7,348,3395437.875753742,202612.54082679105,150000.0,118.42
부산,8,353,3294210.116761944,200105.1257962359,164000.0,114.89
부산,9,259,2523207.0878585493,180247.4462756905,125000.0,88.0
부산,10,283,2705762.795288233,177831.63951516023,125000.0,94.37
부산,11,297,2863906.0074007977,170488.91105239518,120000.0,99.88
부산,12,351,3356897.2305703703,174648.71005826173,125000.0,117.08
서울,1,173,1856745.523558951,135803.4767781843,83333.0,75.55
서울,2,222,2344220.0647418406,119588.25586544542,80000.0,95.39
서울,3,231,2657977.5551583385,104005.61667950197,66668.0,108.16
서울,4,244,2761042.14751027,98420.55567161091,55500.0,112.35
서울,5,218,2591848.050650896,102539.0809938124,60000.0,105.46
서울,6,193,2351758.977875476,116609.68206550488,61250.0,95.69
서울,7,179,1996327.012181967,109449.67441041832,60000.0,81.23
서울,8,164,1788518.099715569,127610.8221691866,70000.0,72.78
서울,9,185,2152798.7408437496,101478.11979704708,60000.0,87.6
서울,10,208,2459805.235675516,100862.02396032275,56000.0,100.09
서울,11,232,2833098.434428186,104061.40318756051,64000.0,115.28
서울,12,316,3696589.855080826,108737.3475305655,75000.0,150.42
세종,1,24,213712.13673406336,58878.09731690995,50000.0,68.48
세종,2,34,324931.0129607782,71575.97290790192,62333.0,104.12
세종,3,25,231482.84584517428,61393.36889579931,50000.0,74.18
세종,4,32,330877.50443745725,87768.56157028784,60000.0,106.03
세종,5,36,347594.196809002,63399.65337828322,50000.0,111.38
세종,6,36,402520.8394217728,109434.4482483477,75000.0,128.98
세종,7,37,339861.20306449296,66287.35387479604,50000.0,108.9
세종,8,30,267410.3458307867,60529.19560843096,40000.0,85.69
세종,9,39,345817.5635331889,57170.05576499633,45000.0,110.81
세종,10,30,248304.12424393732,67851.57790856967,50000.0,79.57
세종,11,28,282513.8983527708,75318.54231651162,50000.0,90.53
세종,12,44,409869.7963393122,59482.00799577141,49000.0,131.34
울산,1,92,935490.0660687356,73503.10250931019,55000.0,108.13
울산,2,79,886708.2889118796,79766.91338855031,60000.0,102.49
울산,3,75,818919.2025799102,83153.17456547503,73500.0,94.66
울산,4,76,731868.8827282053,74364.36895463431,60000.0,84.6
울산,5,85,912261.7067964096,91521.08678438838,70000.0,105.45
울산,6,80,801074.7421312791,92116.77553331287,65000.0,92.59
울산,7,82,918967.7193310428,87742.77436680248,68333.0,106.22
울산,8,73,753658.1776188145,106681.50981187532,64001.0,87.11
울산,9,79,811465.2835182294,99214.37368567789,70000.0,93.8
울산,10,97,1058667.473605285,106764.6598058967,75000.0,122.37
울산,11,77,858641.0145941434,86308.65775017014,70001.0,99.25
울산,12,90,893938.189861526,93675.53939584411,66667.0,103.33
인천,1,132,2017369.680298045,75439.71822354518,61500.0,87.14
인천,2,141,2072728.641344497,78663.74473966335,60000.0,89.53
인천,3,166,2532483.115214594,71822.14398459812,53000.0,109.39
인천,4,162,2667198.3837343706,84904.39292869669,66666.0,115.21
인천,5,161,2357636.008548571,83351.17645225684,70000.0,101.84
인천,6,136,2050512.611684608,87669.93144673237,70000.0,88.57
인천,7,158,2318626.608083505,104835.76533551706,75000.0,100.15
인천,8,146,2114429.2033591783,93313.84999985382,72500.0,91.33
인천,9,153,2251426.969354522,75637.19547487034,60000.0,97.25
인천,10,158,2541671.943684678,85063.90093010377,65000.0,109.79
인천,11,160,2403818.368836908,71554.0417034536,60000.0,103.83
인천,12,159,2453412.6664013597,81006.31832336038,66333.0,105.97
전남,1,639,4940468.311777266,125478.11847892226,89500.0,89.03
전남,2,689,5677804.473549489,130035.40040654196,99334.0,102.31
전남,3,798,6037540.86252122,122780.48728239058,92000.0,108.8
전남,4,849,6418530.115177255,123697.03866328682,95455.0,115.66
전남,5,803,6178891.218120901,134776.31105405148,94250.0,111.34
전남,6,674,4959810.31958526,127856.67846835945,97668.0,89.38
전남,7,697,5030682.999898084,138194.81608958653,99250.0,90.65
전남,8,771,5915488.524994015,149132.83051204262,105400.0,106.6
전남,9,781,5973987.37664494,128392.1295213192,99000.0,107.65
전남,10,714,5672490.766340266,148366.6445432497,105000.0,102.22
전남,11,700,5157054.933425981,125554.06160944914,92000.0,92.93
전남,12,632,4629565.87381125,128423.41127726356,96000.0,83.43
전북,1,457,3809889.983988628,110037.60695731571,83334.0,102.42
전북,2,426,3406191.1896106647,112254.95555657848,88167.0,91.56
전북,3,430,3498242.649266286,107877.61018534753,96666.0,94.04
전북,4,405,3466570.8651274657,108104.31687951255,85750.0,93.19
전북,5,501,4086231.069990637,107711.7539681006,81000.0,109.84
전북,6,438,3514030.9108652677,114325.2040460268,83334.0,94.46
전북,7,382,3112458.210898613,117102.5937402883,84634.0,83.67
전북,8,447,3545839.335961296,127438.86845817156,98750.0,95.32
전북,9,497,4262400.506220888,120452.15818841512,95250.0,114.58
전북,10,541,4628770.177084828,114151.07744835444,95000.0,124.43
전북,11,442,3590258.7348901,107543.9738182803,80500.0,96.51
전북,12,464,3719090.4243405536,116272.7481200494,99500.0,99.98
제주,1,238,2835681.21338143,595372.1126598588,547000.0,99.41
제주,2,225,2636650.3310536877,533223.4451997988,510000.0,92.44
제주,3,249,2736675.566753817,550569.6804465281,533335.0,95.94
제주,4,255,2832699.0776598686,530509.0949451855,508000.0,99.31
제주,5,275,2983545.7225239216,515062.3535489128,500000.0,104.6
제주,6,244,2806425.2611499745,522274.8826613558,505000.0,98.39
제주,7,263,2942815.8713147845,592370.1327188021,566667.0,103.17
제주,8,286,3343107.720003066,572674.8409717015,530000.0,117.2
제주,9,251,2900846.5791262905,572166.106065446,534000.0,101.7
제주,10,262,2963677.1537159747,578738.5471055107,510000.0,103.9
제주,11,238,2571112.104572533,509890.5201837592,500000.0,90.14
제주,12,250,2675816.8405286004,525375.0841418892,510667.0,93.81
충남,1,486,4335773.146912131,104248.03942996284,90000.0,84.25
충남,2,508,4922513.21099229,96778.87386405811,76667.0,95.65
충남,3,502,4717168.2485913215,97638.28963790472,76000.0,91.66
충남,4,571,5269003.105220744,93334.084268111,73500.0,102.38
충남,5,599,5634751.203631435,105838.06010595876,79000.0,109.49
충남,6,548,5062454.151806338,101080.10733302528,83333.0,98.37
충남,7,640,5855551.105007092,126962.26145186744,100300.0,113.78
충남,8,655,6307989.051211638,131379.03888076916,100001.0,122.57
충남,9,569,5455334.149898145,110164.39802059652,87500.0,106.0
충남,10,544,4806815.679801469,103226.93256080494,80000.0,93.4
충남,11,571,4865364.115869163,105443.68778460212,80500.0,94.54
충남,12,525,4523586.568545846,99570.55696710132,76250.0,87.9
충북,1,241,2287548.186201899,100000.09127762647,82334.0,88.57
충북,2,214,2121872.486942401,95493.72035750808,67500.0,82.15
충북,3,252,2199370.753952169,91380.97878092228,71500.0,85.15
충북,4,254,2581478.2767575104,101643.19254199068,80000.0,99.95
충북,5,286,2688090.418659823,106097.28836862031,80000.0,104.07
충북,6,273,2693296.865606936,91781.2893439328,70000.0,104.28
충북,7,265,2696447.831323227,110916.13785091572,90000.0,104.4
충북,8,292,2943501.7197127445,112590.81091708373,98000.0,113.96
충북,9,300,3000745.91370009,105669.70879932442,87000.0,116.18
충북,10,344,3232344.9492817586,109807.57374862918,80000.0,125.15
충북,11,266,2479579.4770701327,98073.84041474183,67500.0,96.0
충북,12,227,2070104.773657903,109957.7183759026,83333.0,80.15
