지역,월,표본수_n,방문건수_가중합,1인평균지출_가중평균,1인평균지출_중앙값
광주,7,43.0,325863.8908888455,106849.9015114564,75750.0
광주,8,44.0,342494.4812861353,158187.49873034537,75000.0
광주,9,53.0,404098.5671579542,137410.5079249693,100000.0
광주,10,71.0,606643.4028817478,120196.76478904852,83333.0
광주,11,53.0,425165.5913205879,124329.05318809119,100000.0
광주,12,91.0,618564.9157316793,107028.27181026459,76000.0
대구,1,169.0,1507336.1349299098,119968.04301803399,83334.0
대구,2,125.0,1090879.0482586022,98491.17029252369,70000.0
대구,3,114.0,968255.0947763991,154350.77212333374,83000.0
대구,4,112.0,1014730.5179061649,112810.15221219402,80000.5
대구,5,133.0,1056316.724507879,121410.31356142729,81000.0
대구,6,122.0,979849.9898706055,105179.77516123699,62500.0
대구,7,98.0,813325.2507259995,134373.23105959067,100000.0
대구,8,80.0,687370.5544932997,148714.09590609945,75250.0
대구,9,152.0,1382225.193433076,133987.02234158877,100000.0
대구,10,118.0,1004099.659027868,108686.7318345279,80625.0
대구,11,105.0,923103.0771305178,128598.21774336114,86250.0
대구,12,129.0,930738.2537141101,121280.49633590029,75000.0
대전,1,165.0,1424283.6468302058,88142.17615207977,75000.0
대전,2,154.0,1361197.5542370006,96834.64156026517,76500.0
대전,3,150.0,1233341.2712328255,98563.11159462966,64166.5
대전,4,134.0,1152941.8701282688,82702.75814718139,50000.5
대전,5,133.0,1194975.4803547538,92245.45754353535,75000.0
대전,6,140.0,1321479.019594836,98051.32607578544,64000.0
대전,7,105.0,787779.7143032149,99407.82669129629,75000.0
대전,8,97.0,799858.6316537602,95677.6558052938,80500.0
대전,9,143.0,1210569.814419782,88569.20143749026,62500.0
대전,10,151.0,1439598.0875375858,105088.95834158988,78000.0
대전,11,109.0,866977.3811697746,100277.54337396145,75000.0
대전,12,129.0,1156081.2905906052,102389.02128523651,75000.0
부산,1,358.0,3406770.824734454,169278.0007006659,100000.0
부산,2,347.0,3170859.096841326,167261.44045397002,113750.0
부산,3,322.0,3224310.450957959,162563.32170398385,100001.0
부산,4,288.0,2775120.6746553527,161367.48704191227,100000.0
부산,5,307.0,2827367.158405345,151529.5661239211,100000.0
부산,6,326.0,3099537.814315212,172274.81369029084,100000.0
부산,7,371.0,3589099.1161945714,198369.95015472503,120000.0
부산,8,369.0,3437121.124615917,194384.94067450296,140000.0
부산,9,313.0,3030754.5455201566,166048.92674672126,100000.0
부산,10,316.0,3009522.791844329,168965.0545194391,101625.0
부산,11,321.0,3114760.7104213135,163691.2874414366,102500.0
부산,12,375.0,3556254.8645416372,170916.09350141176,105667.0
서울,1,311.0,3613352.2717044894,101386.72063166123,75000.0
서울,2,327.0,3572065.801554952,104206.2267591989,82000.0
서울,3,309.0,3770181.2507030177,89786.4284165421,70000.0
서울,4,317.0,3560905.6561335074,90937.31177918101,70500.0
서울,5,300.0,3510354.208794982,91695.69261684494,63500.0
서울,6,276.0,3391466.608182485,102721.87133260356,74000.0
서울,7,236.0,2650787.1742265187,96941.91330620022,70000.0
서울,8,204.0,2205888.6724955905,115824.03907261441,87666.5
서울,9,270.0,3271039.7863648175,90188.58841181273,68500.0
서울,10,284.0,3342711.398300711,94669.77233084905,70000.0
서울,11,302.0,3730868.6281919116,93481.13215247831,70000.0
서울,12,403.0,4750287.073728528,102018.47066776076,90000.0
세종,1,48.0,461672.9908417658,64618.75470610368,50000.0
세종,2,57.0,537197.2923444539,80493.23980413521,60000.0
세종,3,43.0,423687.1304157717,59498.13067851283,50000.0
세종,4,53.0,478940.09465479234,78969.5021516062,50000.0
세종,5,51.0,432336.87170038215,65149.59361447475,50000.0
세종,6,57.0,589019.7277464663,109595.72806057472,50000.0
세종,7,49.0,446597.61908195686,60086.21647972248,50000.0
세종,8,41.0,367417.88960687193,56980.05859156842,45000.0
세종,9,55.0,527692.0262314826,71472.25413563158,50000.0
세종,10,44.0,374483.5452988107,64325.91846687787,50000.0
세종,11,46.0,476897.85652171273,78666.16547278267,50000.0
세종,12,61.0,546212.1886341064,68061.19418524929,49875.0
울산,1,119.0,1176506.0970610483,76010.44035818393,62500.0
울산,2,95.0,1061976.8060734703,76031.69721894192,60000.0
울산,3,84.0,939304.2908056232,82069.93838232178,74250.0
울산,4,89.0,895923.5125189322,71605.40792989194,60000.0
울산,5,99.0,1051570.3763469104,86316.84949420331,66667.0
울산,6,91.0,901107.3028216518,91063.78045642434,66667.0
울산,7,96.0,1103251.0721805743,90916.04301021944,62450.0
울산,8,78.0,803295.6548148039,104872.86578940487,65833.5
울산,9,88.0,935483.1489042183,97649.48187419397,69500.0
울산,10,108.0,1176514.1102497864,100679.9178124859,70000.0
울산,11,90.0,1017722.1478365913,98303.18754881935,70500.5
울산,12,95.0,950704.3933401408,92883.89202592107,66000.0
인천,1,172.0,2557036.055924774,74838.6719160875,66666.5
인천,2,176.0,2715437.3208990283,76187.45995685666,65200.5
인천,3,189.0,2833431.397747786,71975.26367114039,53333.0
인천,4,181.0,2923280.460051603,84661.88375429617,70000.0
인천,5,183.0,2637138.6094579566,82110.980666847,70000.0
인천,6,156.0,2297477.961210505,82659.28214216721,69375.0
인천,7,172.0,2522007.413443295,100150.337504929,74166.5
인천,8,163.0,2327018.6682745474,91196.78891136276,75000.0
인천,9,195.0,2784079.75176143,71366.18839789642,60000.0
인천,10,183.0,2841022.093429248,86957.20642270721,66667.0
인천,11,174.0,2559868.129069932,71324.8609955858,62500.0
인천,12,175.0,2660177.2031453587,78218.81473049735,66667.0
전남,1,750.0,5764584.233045621,122221.98111159333,77417.5
전남,2,807.0,6494126.5855479995,123774.3794397143,79000.0
전남,3,840.0,6355040.376852872,121322.83528592992,75000.0
전남,4,898.0,6868172.086639505,121438.08070254153,78125.0
전남,5,852.0,6541296.6168578835,131293.03084104252,79625.0
전남,6,728.0,5382315.552044361,122573.23372344807,78000.0
전남,7,743.0,5346402.136350445,134122.56103196566,80000.0
전남,8,805.0,6132911.101241973,146261.81491932445,92500.0
전남,9,866.0,6734111.097629258,123963.66827317786,76287.5
전남,10,782.0,6266228.837540209,142197.42975809585,99974.5
전남,11,736.0,5404167.663329855,123854.19753591175,84350.0
전남,12,665.0,4846588.376098812,125552.3731068362,79000.0
전북,1,547.0,4600489.61069178,104070.79346956786,75000.0
전북,2,496.0,4009738.6969998437,109138.81720734965,77500.0
전북,3,478.0,3956750.9318547547,103717.05361804095,87250.0
전북,4,443.0,3730502.749576167,106804.58072618296,75000.0
전북,5,540.0,4421670.134173481,106016.28708947395,80000.0
전북,6,476.0,3919131.484967677,112635.12384230443,75500.0
전북,7,427.0,3414080.19401206,114051.66498467153,75000.0
전북,8,473.0,3805129.3568936437,123920.5830407241,87500.0
전북,9,548.0,4739967.472818265,115939.3055377235,80000.0
전북,10,579.0,4969829.1858747415,112255.3555359011,82500.0
전북,11,464.0,3778370.212363788,105984.3681685917,79375.0
전북,12,493.0,3976809.813195849,113885.62247522429,90500.0
제주,1,240.0,2843274.1006291066,593808.8921288601,531667.5
제주,2,226.0,2648866.181448485,531686.7093000737,508334.0
제주,3,252.0,2773684.3910491904,545669.0447508749,526000.0
제주,4,258.0,2856035.5302992747,527478.0614641177,500000.0
제주,5,279.0,3033403.2823941554,508134.54244142753,502500.0
제주,6,247.0,2829441.414136038,518646.6831416557,500000.0
제주,7,268.0,2954130.807932679,590203.2248864629,519500.0
제주,8,287.0,3353567.552255596,570904.2538229346,507000.0
제주,9,256.0,2941044.879523182,565139.0387319855,505000.0
제주,10,264.0,2989758.394839554,576507.5428957735,509000.0
제주,11,240.0,2593081.9969597505,508217.3308897294,489999.5
제주,12,253.0,2701550.28122484,522553.8099054248,505000.0
충남,1,613.0,5717777.380671555,99476.02313629091,78750.0
충남,2,598.0,5863002.829240758,92227.96329770907,70000.0
충남,3,553.0,5237802.896175249,96545.86015087792,70000.0
충남,4,620.0,5789056.317740317,90303.14789403592,66666.5
충남,5,650.0,6109852.421207411,103076.2119795852,75000.0
충남,6,605.0,5562934.879402126,98370.93457466023,75000.0
충남,7,673.0,6156782.792322553,123566.20116854647,100000.0
충남,8,692.0,6665945.792820188,129418.6275229202,98566.5
충남,9,666.0,6420995.49553003,105491.22258858963,75000.0
충남,10,614.0,5439009.44897809,101734.86536375497,75000.0
충남,11,612.0,5271917.810369008,101686.27292845673,75000.0
충남,12,570.0,4925466.446973389,98449.3672794142,73541.5
충북,1,347.0,3410396.3965915954,93708.33201295731,75000.0
충북,2,275.0,2693097.439191751,90492.74297211072,62500.0
충북,3,286.0,2477266.27000915,89274.05503082492,59500.0
충북,4,282.0,2838867.1821821416,100324.20088393932,67083.5
충북,5,322.0,2983435.3548922753,100756.42921243786,70000.0
충북,6,305.0,2959650.8580039944,90667.92986788836,66667.0
충북,7,296.0,2926804.6046008784,107923.99251499375,80000.0
충북,8,318.0,3189858.9835402602,117017.82120690893,87250.0
충북,9,374.0,3715118.284991863,99158.96396129746,75000.0
충북,10,398.0,3749402.3955173884,105139.03331263251,75000.0
충북,11,294.0,2734811.486244818,96447.58421966198,63950.0
충북,12,259.0,2349794.387213733,106371.55241558884,78000.0
